Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-02-06 00:00:00,475150,91.0,CHE,DE LA PLANCHE BRULEE,13,1210.0,FERNEY-VOLTAIRE,1,160,402,"133,77",Appartement,120,4
2020-02-12 00:00:00,132500,3.0,RUE,DU DOCTEUR GREZEL,23,1130.0,NANTUA,1,269,46,"107,61",Appartement,106,5
2020-02-05 00:00:00,68000,28.0,RUE,DU DOC CHARCOT,24,1500.0,SAINT-DENIS-EN-BUGEY,1,345,58,"42,78",Appartement,43,2
2020-01-30 00:00:00,570840,312.0,RUE,DES TERRASSES,25,1710.0,THOIRY,1,419,38,"124,55",Maison,120,5
2020-02-03 00:00:00,135700,10.0,RUE,AMPERE,7,1100.0,OYONNAX,1,283,13,"68,11",Appartement,67,2
2020-02-05 00:00:00,62500,1.0,RUE,GERARD DE NERVAL,26,1100.0,BELLIGNAT,1,31,1,"70,78",Appartement,68,3
2020-02-03 00:00:00,332500,10.0,RUE,DES HAUTAINS,6,1630.0,ST-GENIS-POUILLY,1,354,211,"112,3",Appartement,112,5
2020-02-07 00:00:00,428000,102.0,MAIL,DU NEUTRINO,20,1280.0,PREVESSIN-MOENS,1,313,941,"95,43",Maison,95,4
2020-01-28 00:00:00,210000,84.0,RUE,DE MEYRIN,13,1210.0,FERNEY-VOLTAIRE,1,160,1423,"63,45",Appartement,63,3
2020-02-12 00:00:00,50000,115.0,RUE,MASONOD,27,1110.0,PLATEAU D'HAUTEVILLE,1,185,20,"77,3",Appartement,75,4
2020-01-28 00:00:00,592487,812.0,RUE,DES VERTES CAMPAGNES,9,1170.0,GEX,1,173,306,"164,18",Maison,160,6
2020-02-10 00:00:00,295000,26.0,CHE,DE LA PLANCHE BRULEE,13,1210.0,FERNEY-VOLTAIRE,1,160,148,"66,95",Appartement,67,3
2020-02-12 00:00:00,133000,2.0,RUE,DE CHAMP FUSY,6,1630.0,ST-GENIS-POUILLY,1,354,121,"30,62",Appartement,31,1
2020-01-29 00:00:00,580450,53.0,ALL,DES PRUNUS,6,1630.0,ST-GENIS-POUILLY,1,354,19,"165,92",Appartement,166,5
