regrgp_nom,reg_nom,dep_nom,com_code,com_nom_maj,com_nom,dep_code,dep_id,reg_code
Province,Occitanie,Loz̬re,48157,SAINTE-HELENE,Sainte-H̩l̬ne,48,D048,76
Province,Pays de la Loire,Vend̩e,85241,SAINT-MARS-DES-PRES,Saint-Mars-des-Pr̩s,85,D085,52
Province,Occitanie,Loz̬re,48164,SAINT-JULIEN-DU-TOURNEL,Saint-Julien-du-Tournel,48,D048,76
Province,Pays de la Loire,Vend̩e,85245,SAINT-MARTIN-DES-FONTAINES,Saint-Martin-des-Fontaines,85,D085,52
Province,Occitanie,Loz̬re,48166,SAINT-LAURENT-DE-TREVES,Cans et C̩vennes,48,D048,76
Province,Pays de la Loire,Vend̩e,85246,SAINT-MARTIN-DES-NOYERS,Saint-Martin-des-Noyers,85,D085,52
Province,Occitanie,Loz̬re,48168,SAINT-LEGER-DE-PEYRE,Saint-L̩ger-de-Peyre,48,D048,76
Province,Pays de la Loire,Vend̩e,85252,SAINT-MAURICE-LE-GIRARD,Saint-Maurice-le-Girard,85,D085,52
Province,Occitanie,Loz̬re,48169,SAINT-LEGER-DU-MALZIEU,Saint-L̩ger-du-Malzieu,48,D048,76
Province,Pays de la Loire,Vend̩e,85253,SAINT-MEDARD-DES-PRES,Saint-M̩dard-des-Pr̩s,85,D085,52
Province,Occitanie,Loz̬re,48174,SAINT-PAUL-LE-FROID,Saint-Paul-le-Froid,48,D048,76
Province,Pays de la Loire,Vend̩e,85257,SAINT-MICHEL-MONT-MERCURE,Saint-Michel-Mont-Mercure,85,D085,52
Province,Occitanie,Loz̬re,48175,SAINT-PIERRE-DE-NOGARET,Saint-Pierre-de-Nogaret,48,D048,76
Province,Pays de la Loire,Vend̩e,85261,SAINTE-PEXINE,Sainte-Pexine,85,D085,52
Province,Occitanie,Loz̬re,48181,SAINT-SATURNIN,Saint-Saturnin,48,D048,76
Province,Pays de la Loire,Vend̩e,85268,SAINT-REVEREND,Saint-R̩v̩rend,85,D085,52
Province,Occitanie,Loz̬re,48183,SAINT-SAUVEUR-DE-PEYRE,Saint-Sauveur-de-Peyre,48,D048,76
Province,Pays de la Loire,Vend̩e,85274,SAINT-VALERIEN,Saint-Val̩rien,85,D085,52
Province,Occitanie,Loz̬re,48190,TERMES,Termes,48,D048,76
Province,Pays de la Loire,Vend̩e,85282,SIGOURNAIS,Sigournais,85,D085,52
Province,Pays de la Loire,Maine-et-Loire,49003,AMBILLOU-CHATEAU,Tuffalun,49,D049,52
Province,Pays de la Loire,Vend̩e,85284,SOULLANS,Soullans,85,D085,52
Province,Pays de la Loire,Maine-et-Loire,49008,ANGRIE,Angrie,49,D049,52
Province,Pays de la Loire,Vend̩e,85292,THOUARSAIS-BOUILDROUX,Thouarsais-Bouildroux,85,D085,52
Province,Pays de la Loire,Maine-et-Loire,49023,BEAUPREAU,Beaupr̩au-en-Mauges,49,D049,52
Province,Pays de la Loire,Vend̩e,85294,LA TRANCHE-SUR-MER,La Tranche-sur-Mer,85,D085,52
Province,Pays de la Loire,Maine-et-Loire,49025,BEAUVAU,Beauvau,49,D049,52
Province,Pays de la Loire,Vend̩e,85297,TRIAIZE,Triaize,85,D085,52
Province,Pays de la Loire,Maine-et-Loire,49027,BEGROLLES-EN-MAUGES,B̩grolles-en-Mauges,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86007,ANTRAN,Antran,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49028,BEHUARD,B̩huard,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86016,AVANTON,Avanton,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49031,BOCE,Boc̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86017,AYRON,Ayron,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49041,BRAIN-SUR-ALLONNES,Brain-sur-Allonnes,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86026,BEUXES,Beuxes,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49043,BRAIN-SUR-LONGUENEE,Brain-sur-Longuen̩e,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86032,BONNEUIL-MATOURS,Bonneuil-Matours,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49046,BREZE,Br̩z̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86044,CEAUX-EN-LOUDUN,Ceaux-en-Loudun,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49047,BRIGNE,Brign̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86047,CERNAY,Cernay,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49051,BRISSARTHE,Brissarthe,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86069,LA CHAUSSEE,La Chauss̩e,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49067,CHAMPTEUSSE-SUR-BACONNE,Chenill̩-Champteuss̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86078,CIVRAY,Civray,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49068,CHAMPTOCE-SUR-LOIRE,Champtoc̩-sur-Loire,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86079,LA ROCHE-RIGAULT,La Roche-Rigault,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49072,LA CHAPELLE-DU-GENET,La Chapelle-du-Gen̻t,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86081,COLOMBIERS,Colombiers,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49077,LA CHAPELLE-SUR-OUDON,La Chapelle-sur-Oudon,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86083,COULOMBIERS,Coulombiers,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49079,CHARTRENE,Chartren̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86089,CUHON,Cuhon,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49088,CHAZE-HENRY,Chaz̩-Henry,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86095,DISSAY,Dissay,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49101,CLEFS,Clefs,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86102,FROZES,Frozes,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49105,CONTIGNE,Contign̩,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86105,GIZAY,Gizay,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49108,LA CORNUAILLE,La Cornuaille,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86109,GUESNES,Guesnes,86,D086,75
